Time(ms),Temp1,Temp2,Temp3,Temp4,Temp5
9861,24.22,20.31,19.82,19.34,19.82
9899,24.22,19.82,19.82,19.34,19.82
9937,24.22,20.31,19.34,19.34,19.34
9975,24.22,20.31,19.82,19.82,19.82
10014,23.73,19.82,19.82,19.34,19.82
10053,24.22,20.31,19.82,19.82,19.82
10093,24.22,20.31,19.34,19.34,19.82
10133,24.22,20.31,19.34,19.34,19.82
10172,24.22,20.31,19.82,19.34,19.34
10212,24.22,19.82,19.34,19.34,19.82
10251,24.22,20.31,19.82,19.34,19.82
10291,24.22,20.31,19.82,19.82,19.82
10331,24.22,20.31,19.82,19.82,19.82
10370,24.22,20.31,19.34,19.34,19.82
10409,24.22,19.82,19.82,19.34,19.82
10448,24.22,19.82,19.82,19.34,19.34
10488,23.73,19.82,19.34,19.34,19.34
10528,24.22,20.31,19.82,19.82,19.82
10567,24.22,20.31,19.34,19.82,19.82
10607,24.22,20.31,19.34,19.34,19.34
10646,24.22,20.31,19.82,19.82,19.34
10686,24.22,20.31,19.34,19.82,19.82
10726,24.22,20.31,19.34,19.34,19.82
10765,24.22,20.31,19.82,19.82,20.31
10805,24.22,20.31,19.82,19.34,19.82
10844,24.22,19.82,19.82,19.82,20.31
10884,24.22,20.31,19.82,19.82,20.31
10924,24.22,20.31,19.82,19.34,19.34
10962,24.22,20.31,19.34,19.34,19.82
11002,24.22,20.31,19.82,19.82,20.31
11041,24.22,20.31,19.82,19.34,19.34
11081,24.22,20.31,19.82,19.34,19.34
11120,24.22,19.82,19.82,19.82,19.82
11160,24.22,19.82,19.34,19.82,19.82
11200,24.22,19.82,19.82,19.34,19.82
11239,24.22,20.31,19.82,19.82,19.82
11279,24.22,19.82,19.82,19.34,19.82
11318,24.22,20.31,19.82,19.34,19.82
11358,24.22,19.82,19.82,19.82,19.82
11398,24.22,20.31,19.82,19.82,20.31
11437,24.22,19.82,19.82,19.82,19.82
11476,24.22,20.31,19.82,19.82,20.31
11515,24.22,20.31,19.82,19.34,19.34
11555,24.22,20.31,19.34,19.34,19.82
11595,24.22,20.31,19.82,19.82,19.82
11634,24.22,20.31,19.82,19.82,19.34
11674,24.22,20.31,19.82,19.34,19.82
11713,24.22,20.31,19.82,19.82,19.34
11753,23.73,20.31,19.82,19.82,19.82
11793,24.22,19.82,19.82,19.34,19.82
11832,24.22,20.31,19.34,19.82,20.31
11872,24.22,19.82,19.34,19.82,19.82
11911,24.22,20.31,19.82,19.34,19.82
11951,24.22,20.31,19.34,19.82,20.31
11991,24.22,19.82,19.34,19.34,19.82
12029,24.22,20.31,19.82,19.34,19.82
12069,24.22,19.82,19.34,19.34,20.31
12108,24.22,20.31,19.82,19.34,19.82
12148,24.22,19.82,19.34,19.34,19.82
12188,24.22,20.31,19.82,19.34,20.31
12227,24.22,20.31,19.82,19.34,19.82
12267,24.22,20.31,19.82,19.82,19.82
12306,24.22,19.82,19.34,19.34,19.82
12346,24.22,19.82,19.34,19.82,19.82
12385,24.22,20.31,19.82,19.82,19.82
12425,24.22,20.31,19.82,19.82,19.82
12465,24.22,20.31,19.34,19.34,19.82
12504,24.22,20.31,19.34,19.82,19.34
12544,24.22,20.31,19.34,19.34,19.82
12582,24.22,20.31,19.82,19.34,19.82
12622,24.22,20.31,19.82,19.82,19.34
12662,24.22,20.31,19.82,19.34,19.82
12701,24.22,19.82,19.82,19.82,19.82
12741,24.22,20.31,19.82,19.34,19.34
